Age,Gender,Stream,CGPA,Internships,Projects,International_Competitions,Extracurricular_Activities,PlacementTraining,SSC_Marks,Masters,PlacedOrNot
22,Male,Information Technology,7.3,1,2,2,Yes,No,90,80,NotPlaced
21,Female,Information Technology,7.5,1,1,2,Yes,Yes,81,80,Placed
22,Female,Mechanical Engineering,8.4,2,3,2,Yes,Yes,55,80,Placed
21,Male,Electrical Engineering,8.6,1,2,2,Yes,Yes,88,80,Placed
22,Male,Electrical Engineering,8.1,1,3,2,Yes,Yes,86,80,Placed
22,Male,Information Technology,7.5,2,1,1,Yes,Yes,85,80,NotPlaced
21,Male,Information Technology,8.4,1,3,2,Yes,Yes,89,80,Placed
21,Male,Computer Science,8.4,1,2,1,Yes,Yes,87,80,Placed
21,Male,Electronics And Communication,8.3,2,3,1,Yes,No,55,80,Placed
21,Female,Electronics And Communication,8.2,0,3,2,Yes,Yes,90,80,Placed
22,Male,Mechanical Engineering,8.5,2,3,1,Yes,Yes,88,80,Placed
22,Female,Electronics And Communication,8.3,0,3,1,Yes,Yes,89,80,NotPlaced
21,Female,Electronics And Communication,8.7,1,3,2,Yes,Yes,81,80,Placed
21,Male,Information Technology,6.9,0,1,0,Yes,Yes,81,80,Placed
21,Female,Computer Science,8.3,1,2,0,Yes,Yes,82,80,Placed
22,Male,Computer Science,8.3,2,3,2,Yes,Yes,90,80,NotPlaced
22,Female,Mechanical Engineering,7.8,2,3,2,Yes,Yes,90,80,Placed
21,Male,Electronics And Communication,8.3,2,3,2,Yes,Yes,90,80,Placed
21,Male,Electronics And Communication,8.2,1,1,2,Yes,Yes,89,80,Placed
22,Male,Electronics And Communication,7.4,2,3,2,Yes,Yes,82,80,NotPlaced
22,Male,Electrical Engineering,8.2,1,2,1,Yes,Yes,90,80,Placed
21,Male,Computer Science,8.2,2,3,2,Yes,Yes,85,80,Placed
22,Male,Computer Science,8.5,2,3,0,Yes,Yes,90,80,Placed
22,Male,Electronics And Communication,8.3,2,3,2,Yes,No,89,80,Placed
22,Male,Electronics And Communication,8.4,0,3,2,Yes,No,90,80,Placed
21,Male,Civil Engineering,8.1,2,3,2,Yes,Yes,85,80,Placed
22,Male,Information Technology,7.9,1,1,1,No,No,85,80,NotPlaced
22,Male,Information Technology,8.1,1,3,1,Yes,Yes,90,80,Placed
22,Male,Information Technology,7.8,2,3,1,Yes,Yes,90,80,NotPlaced
21,Male,Civil Engineering,7.7,1,2,1,No,Yes,88,80,NotPlaced
22,Male,Electronics And Communication,7.5,2,3,1,Yes,Yes,90,80,Placed
21,Male,Computer Science,7.9,1,3,2,No,Yes,90,80,Placed
21,Female,Electronics And Communication,8.8,2,3,2,Yes,Yes,80,80,Placed
21,Male,Computer Science,8.3,1,1,2,Yes,No,89,80,Placed
21,Male,Computer Science,7.9,0,3,1,Yes,No,90,80,Placed
21,Male,Computer Science,7.4,1,1,0,No,No,55,80,NotPlaced
22,Male,Electronics And Communication,8.7,1,2,0,Yes,Yes,90,80,Placed
22,Male,Civil Engineering,8.6,2,3,2,Yes,Yes,90,80,Placed
22,Male,Information Technology,8.7,2,3,0,Yes,Yes,89,80,Placed
22,Male,Computer Science,7.5,1,3,0,Yes,Yes,90,80,Placed
22,Male,Mechanical Engineering,8.4,2,2,2,Yes,Yes,90,80,Placed
22,Male,Civil Engineering,8.4,1,1,2,Yes,No,84,80,Placed
21,Male,Civil Engineering,7.5,1,3,0,Yes,No,90,80,NotPlaced
21,Male,Electronics And Communication,6.5,0,1,0,Yes,Yes,55,80,NotPlaced
22,Female,Computer Science,8.4,0,2,0,Yes,Yes,90,80,NotPlaced
21,Female,Computer Science,8.2,2,3,2,Yes,No,90,80,Placed
22,Male,Civil Engineering,8.1,1,3,2,No,Yes,89,80,Placed
21,Male,Computer Science,7.6,0,2,0,Yes,Yes,90,80,Placed
21,Male,Electronics And Communication,7.4,1,2,0,Yes,Yes,83,80,Placed
21,Female,Information Technology,7.7,1,2,2,Yes,Yes,90,80,NotPlaced
